"cases","cumulative_cases","date_report","health_region","province"
49,4013,"06-05-2020","Calgary","Alberta"
44,4057,"07-05-2020","Calgary","Alberta"
68,4125,"08-05-2020","Calgary","Alberta"
52,4177,"09-05-2020","Calgary","Alberta"
85,4262,"10-05-2020","Calgary","Alberta"
38,4300,"11-05-2020","Calgary","Alberta"
42,4342,"12-05-2020","Calgary","Alberta"
50,4392,"13-05-2020","Calgary","Alberta"
41,4433,"14-05-2020","Calgary","Alberta"
46,4479,"15-05-2020","Calgary","Alberta"
57,4536,"16-05-2020","Calgary","Alberta"
47,4583,"17-05-2020","Calgary","Alberta"
35,4618,"18-05-2020","Calgary","Alberta"
31,4649,"19-05-2020","Calgary","Alberta"
15,4664,"20-05-2020","Calgary","Alberta"
27,4691,"21-05-2020","Calgary","Alberta"
23,4714,"22-05-2020","Calgary","Alberta"
11,4725,"23-05-2020","Calgary","Alberta"
37,4762,"24-05-2020","Calgary","Alberta"
17,4779,"25-05-2020","Calgary","Alberta"
21,4800,"26-05-2020","Calgary","Alberta"
19,4819,"27-05-2020","Calgary","Alberta"
26,4845,"28-05-2020","Calgary","Alberta"
18,4863,"29-05-2020","Calgary","Alberta"
8,4871,"30-05-2020","Calgary","Alberta"
14,4885,"31-05-2020","Calgary","Alberta"
22,4907,"01-06-2020","Calgary","Alberta"
5,4912,"02-06-2020","Calgary","Alberta"
14,4926,"03-06-2020","Calgary","Alberta"
10,4936,"04-06-2020","Calgary","Alberta"
0,4936,"05-06-2020","Calgary","Alberta"
17,4953,"06-06-2020","Calgary","Alberta"
0,4953,"07-06-2020","Calgary","Alberta"
23,4976,"08-06-2020","Calgary","Alberta"
17,4993,"09-06-2020","Calgary","Alberta"
23,5016,"10-06-2020","Calgary","Alberta"
23,5039,"11-06-2020","Calgary","Alberta"
11,5050,"12-06-2020","Calgary","Alberta"
19,5069,"13-06-2020","Calgary","Alberta"
18,5087,"14-06-2020","Calgary","Alberta"
7,5094,"15-06-2020","Calgary","Alberta"
11,5105,"16-06-2020","Calgary","Alberta"
21,5126,"17-06-2020","Calgary","Alberta"
17,5143,"18-06-2020","Calgary","Alberta"
20,5163,"19-06-2020","Calgary","Alberta"
19,5182,"20-06-2020","Calgary","Alberta"
6,5188,"21-06-2020","Calgary","Alberta"
21,5209,"22-06-2020","Calgary","Alberta"
13,5222,"23-06-2020","Calgary","Alberta"
9,5231,"24-06-2020","Calgary","Alberta"
8,5239,"25-06-2020","Calgary","Alberta"
15,5254,"26-06-2020","Calgary","Alberta"
36,5290,"27-06-2020","Calgary","Alberta"
9,5299,"28-06-2020","Calgary","Alberta"
34,5333,"29-06-2020","Calgary","Alberta"
19,5352,"30-06-2020","Calgary","Alberta"
0,5352,"01-07-2020","Calgary","Alberta"
28,5380,"02-07-2020","Calgary","Alberta"
4,5384,"03-07-2020","Calgary","Alberta"
0,5384,"04-07-2020","Calgary","Alberta"
0,5384,"05-07-2020","Calgary","Alberta"
56,5440,"06-07-2020","Calgary","Alberta"
12,5452,"07-07-2020","Calgary","Alberta"
14,5466,"08-07-2020","Calgary","Alberta"
19,5485,"09-07-2020","Calgary","Alberta"
31,5516,"10-07-2020","Calgary","Alberta"
0,5516,"11-07-2020","Calgary","Alberta"
0,5516,"12-07-2020","Calgary","Alberta"
108,5624,"13-07-2020","Calgary","Alberta"
34,5658,"14-07-2020","Calgary","Alberta"
31,5689,"15-07-2020","Calgary","Alberta"
61,5750,"16-07-2020","Calgary","Alberta"
38,5788,"17-07-2020","Calgary","Alberta"
0,5788,"18-07-2020","Calgary","Alberta"
0,5788,"19-07-2020","Calgary","Alberta"
208,5996,"20-07-2020","Calgary","Alberta"
58,6054,"21-07-2020","Calgary","Alberta"
73,6127,"22-07-2020","Calgary","Alberta"
60,6187,"23-07-2020","Calgary","Alberta"
55,6242,"24-07-2020","Calgary","Alberta"
0,6242,"25-07-2020","Calgary","Alberta"
0,6242,"26-07-2020","Calgary","Alberta"
136,6378,"27-07-2020","Calgary","Alberta"
29,6407,"28-07-2020","Calgary","Alberta"
43,6450,"29-07-2020","Calgary","Alberta"
20,6470,"30-07-2020","Calgary","Alberta"
39,6509,"31-07-2020","Calgary","Alberta"
0,6509,"01-08-2020","Calgary","Alberta"
0,6509,"02-08-2020","Calgary","Alberta"
0,6509,"03-08-2020","Calgary","Alberta"
102,6611,"04-08-2020","Calgary","Alberta"
30,6641,"05-08-2020","Calgary","Alberta"
14,6655,"06-08-2020","Calgary","Alberta"
35,6690,"07-08-2020","Calgary","Alberta"
0,6690,"08-08-2020","Calgary","Alberta"
0,6690,"09-08-2020","Calgary","Alberta"
86,6776,"10-08-2020","Calgary","Alberta"
10,6786,"11-08-2020","Calgary","Alberta"
13,6799,"12-08-2020","Calgary","Alberta"
34,6833,"13-08-2020","Calgary","Alberta"
20,6853,"14-08-2020","Calgary","Alberta"
0,6853,"15-08-2020","Calgary","Alberta"
0,6853,"16-08-2020","Calgary","Alberta"
64,6917,"17-08-2020","Calgary","Alberta"
17,6934,"18-08-2020","Calgary","Alberta"
21,6955,"19-08-2020","Calgary","Alberta"
33,6988,"20-08-2020","Calgary","Alberta"
38,7026,"21-08-2020","Calgary","Alberta"
0,7026,"22-08-2020","Calgary","Alberta"
0,7026,"23-08-2020","Calgary","Alberta"
112,7138,"24-08-2020","Calgary","Alberta"
18,7156,"25-08-2020","Calgary","Alberta"
49,7205,"26-08-2020","Calgary","Alberta"
38,7243,"27-08-2020","Calgary","Alberta"
95,7338,"28-08-2020","Calgary","Alberta"
0,7338,"29-08-2020","Calgary","Alberta"
0,7338,"30-08-2020","Calgary","Alberta"
187,7525,"31-08-2020","Calgary","Alberta"
71,7596,"01-09-2020","Calgary","Alberta"
33,7629,"02-09-2020","Calgary","Alberta"
50,7679,"03-09-2020","Calgary","Alberta"
53,7732,"04-09-2020","Calgary","Alberta"
0,7732,"05-09-2020","Calgary","Alberta"
0,7732,"06-09-2020","Calgary","Alberta"
0,7732,"07-09-2020","Calgary","Alberta"
212,7944,"08-09-2020","Calgary","Alberta"
22,7966,"09-09-2020","Calgary","Alberta"
23,7989,"10-09-2020","Calgary","Alberta"
31,8020,"11-09-2020","Calgary","Alberta"
0,8020,"12-09-2020","Calgary","Alberta"
0,8020,"13-09-2020","Calgary","Alberta"
147,8167,"14-09-2020","Calgary","Alberta"
35,8202,"15-09-2020","Calgary","Alberta"
41,8243,"16-09-2020","Calgary","Alberta"
32,8275,"17-09-2020","Calgary","Alberta"
40,8315,"18-09-2020","Calgary","Alberta"
0,8315,"19-09-2020","Calgary","Alberta"
0,8315,"20-09-2020","Calgary","Alberta"
106,8421,"21-09-2020","Calgary","Alberta"
39,8460,"22-09-2020","Calgary","Alberta"
53,8513,"23-09-2020","Calgary","Alberta"
63,8576,"24-09-2020","Calgary","Alberta"
61,8637,"25-09-2020","Calgary","Alberta"
0,8637,"26-09-2020","Calgary","Alberta"
0,8637,"27-09-2020","Calgary","Alberta"
144,8781,"28-09-2020","Calgary","Alberta"
64,8845,"29-09-2020","Calgary","Alberta"
64,8909,"30-09-2020","Calgary","Alberta"
42,8951,"01-10-2020","Calgary","Alberta"
22,8973,"02-10-2020","Calgary","Alberta"
0,8973,"03-10-2020","Calgary","Alberta"
0,8973,"04-10-2020","Calgary","Alberta"
172,9145,"05-10-2020","Calgary","Alberta"
78,9223,"06-10-2020","Calgary","Alberta"
30,9253,"07-10-2020","Calgary","Alberta"
50,9303,"08-10-2020","Calgary","Alberta"
82,9385,"09-10-2020","Calgary","Alberta"
0,9385,"10-10-2020","Calgary","Alberta"
0,9385,"11-10-2020","Calgary","Alberta"
0,9385,"12-10-2020","Calgary","Alberta"
292,9677,"13-10-2020","Calgary","Alberta"
74,9751,"14-10-2020","Calgary","Alberta"
79,9830,"15-10-2020","Calgary","Alberta"
94,9924,"16-10-2020","Calgary","Alberta"
0,9924,"17-10-2020","Calgary","Alberta"
0,9924,"18-10-2020","Calgary","Alberta"
331,10255,"19-10-2020","Calgary","Alberta"
124,10379,"20-10-2020","Calgary","Alberta"
187,10566,"21-10-2020","Calgary","Alberta"
157,10723,"22-10-2020","Calgary","Alberta"
148,10871,"23-10-2020","Calgary","Alberta"
0,10871,"24-10-2020","Calgary","Alberta"
0,10871,"25-10-2020","Calgary","Alberta"
474,11345,"26-10-2020","Calgary","Alberta"
209,11554,"27-10-2020","Calgary","Alberta"
213,11767,"28-10-2020","Calgary","Alberta"
212,11979,"29-10-2020","Calgary","Alberta"
278,12257,"30-10-2020","Calgary","Alberta"
0,12257,"31-10-2020","Calgary","Alberta"
0,12257,"01-11-2020","Calgary","Alberta"
0,12257,"02-11-2020","Calgary","Alberta"
943,13200,"03-11-2020","Calgary","Alberta"
211,13411,"04-11-2020","Calgary","Alberta"
0,13411,"05-11-2020","Calgary","Alberta"
593,14004,"06-11-2020","Calgary","Alberta"
0,14004,"07-11-2020","Calgary","Alberta"
0,14004,"08-11-2020","Calgary","Alberta"
908,14912,"09-11-2020","Calgary","Alberta"
309,15221,"10-11-2020","Calgary","Alberta"
0,15221,"11-11-2020","Calgary","Alberta"
614,15835,"12-11-2020","Calgary","Alberta"
337,16172,"13-11-2020","Calgary","Alberta"
0,16172,"14-11-2020","Calgary","Alberta"
0,16172,"15-11-2020","Calgary","Alberta"
1232,17404,"16-11-2020","Calgary","Alberta"
354,17758,"17-11-2020","Calgary","Alberta"
298,18056,"18-11-2020","Calgary","Alberta"
350,18406,"19-11-2020","Calgary","Alberta"
412,18818,"20-11-2020","Calgary","Alberta"
438,19256,"21-11-2020","Calgary","Alberta"
486,19742,"22-11-2020","Calgary","Alberta"
464,20206,"23-11-2020","Calgary","Alberta"
426,20632,"24-11-2020","Calgary","Alberta"
460,21092,"25-11-2020","Calgary","Alberta"
418,21510,"26-11-2020","Calgary","Alberta"
421,21931,"27-11-2020","Calgary","Alberta"
655,22586,"28-11-2020","Calgary","Alberta"
646,23232,"29-11-2020","Calgary","Alberta"
739,23971,"30-11-2020","Calgary","Alberta"
431,24402,"01-12-2020","Calgary","Alberta"
623,25025,"02-12-2020","Calgary","Alberta"
608,25633,"03-12-2020","Calgary","Alberta"
680,26313,"04-12-2020","Calgary","Alberta"
749,27062,"05-12-2020","Calgary","Alberta"
759,27821,"06-12-2020","Calgary","Alberta"
584,28405,"07-12-2020","Calgary","Alberta"
583,28988,"08-12-2020","Calgary","Alberta"
548,29536,"09-12-2020","Calgary","Alberta"
371,29907,"10-12-2020","Calgary","Alberta"
497,30404,"11-12-2020","Calgary","Alberta"
563,30967,"12-12-2020","Calgary","Alberta"
619,31586,"13-12-2020","Calgary","Alberta"
633,32219,"14-12-2020","Calgary","Alberta"
502,32721,"15-12-2020","Calgary","Alberta"
452,33173,"16-12-2020","Calgary","Alberta"
552,33725,"17-12-2020","Calgary","Alberta"
546,34271,"18-12-2020","Calgary","Alberta"
557,34828,"19-12-2020","Calgary","Alberta"
456,35284,"20-12-2020","Calgary","Alberta"
445,35729,"21-12-2020","Calgary","Alberta"
363,36092,"22-12-2020","Calgary","Alberta"
425,36517,"23-12-2020","Calgary","Alberta"
0,36517,"24-12-2020","Calgary","Alberta"
0,36517,"25-12-2020","Calgary","Alberta"
0,36517,"26-12-2020","Calgary","Alberta"
0,36517,"27-12-2020","Calgary","Alberta"
1419,37936,"28-12-2020","Calgary","Alberta"
317,38253,"29-12-2020","Calgary","Alberta"
401,38654,"30-12-2020","Calgary","Alberta"
0,38654,"31-12-2020","Calgary","Alberta"
0,38654,"01-01-2021","Calgary","Alberta"
0,38654,"02-01-2021","Calgary","Alberta"
0,38654,"03-01-2021","Calgary","Alberta"
1801,40455,"04-01-2021","Calgary","Alberta"
291,40746,"05-01-2021","Calgary","Alberta"
434,41180,"06-01-2021","Calgary","Alberta"
403,41583,"07-01-2021","Calgary","Alberta"
402,41985,"08-01-2021","Calgary","Alberta"
345,42330,"09-01-2021","Calgary","Alberta"
347,42677,"10-01-2021","Calgary","Alberta"
270,42947,"11-01-2021","Calgary","Alberta"
235,43182,"12-01-2021","Calgary","Alberta"
336,43518,"13-01-2021","Calgary","Alberta"
367,43885,"14-01-2021","Calgary","Alberta"
249,44134,"15-01-2021","Calgary","Alberta"
267,44401,"16-01-2021","Calgary","Alberta"
265,44666,"17-01-2021","Calgary","Alberta"
185,44851,"18-01-2021","Calgary","Alberta"
234,45085,"19-01-2021","Calgary","Alberta"
255,45340,"20-01-2021","Calgary","Alberta"
221,45561,"21-01-2021","Calgary","Alberta"
0,0,"25-01-2020","Central","Alberta"
0,0,"26-01-2020","Central","Alberta"
0,0,"27-01-2020","Central","Alberta"
0,0,"28-01-2020","Central","Alberta"
0,0,"29-01-2020","Central","Alberta"
0,0,"30-01-2020","Central","Alberta"
0,0,"31-01-2020","Central","Alberta"
0,0,"01-02-2020","Central","Alberta"
0,0,"02-02-2020","Central","Alberta"
0,0,"03-02-2020","Central","Alberta"
0,0,"04-02-2020","Central","Alberta"
0,0,"05-02-2020","Central","Alberta"
0,0,"06-02-2020","Central","Alberta"
0,0,"07-02-2020","Central","Alberta"
0,0,"08-02-2020","Central","Alberta"
0,0,"09-02-2020","Central","Alberta"
0,0,"10-02-2020","Central","Alberta"
0,0,"11-02-2020","Central","Alberta"
0,0,"12-02-2020","Central","Alberta"
0,0,"13-02-2020","Central","Alberta"
0,0,"14-02-2020","Central","Alberta"
0,0,"15-02-2020","Central","Alberta"
0,0,"16-02-2020","Central","Alberta"
0,0,"17-02-2020","Central","Alberta"
0,0,"18-02-2020","Central","Alberta"
0,0,"19-02-2020","Central","Alberta"
0,0,"20-02-2020","Central","Alberta"
0,0,"21-02-2020","Central","Alberta"
0,0,"22-02-2020","Central","Alberta"
0,0,"23-02-2020","Central","Alberta"
0,0,"24-02-2020","Central","Alberta"
0,0,"25-02-2020","Central","Alberta"
0,0,"26-02-2020","Central","Alberta"
0,0,"27-02-2020","Central","Alberta"
0,0,"28-02-2020","Central","Alberta"
0,0,"29-02-2020","Central","Alberta"
0,0,"01-03-2020","Central","Alberta"
0,0,"02-03-2020","Central","Alberta"
0,0,"03-03-2020","Central","Alberta"
0,0,"04-03-2020","Central","Alberta"
0,0,"05-03-2020","Central","Alberta"
0,0,"06-03-2020","Central","Alberta"
0,0,"07-03-2020","Central","Alberta"
0,0,"08-03-2020","Central","Alberta"
0,0,"09-03-2020","Central","Alberta"
0,0,"10-03-2020","Central","Alberta"
1,1,"11-03-2020","Central","Alberta"
0,1,"12-03-2020","Central","Alberta"
0,1,"13-03-2020","Central","Alberta"
0,1,"14-03-2020","Central","Alberta"
0,1,"15-03-2020","Central","Alberta"
1,2,"16-03-2020","Central","Alberta"
1,3,"17-03-2020","Central","Alberta"
0,3,"18-03-2020","Central","Alberta"
0,3,"19-03-2020","Central","Alberta"
1,4,"20-03-2020","Central","Alberta"
3,7,"21-03-2020","Central","Alberta"
3,10,"22-03-2020","Central","Alberta"
7,17,"23-03-2020","Central","Alberta"
11,28,"24-03-2020","Central","Alberta"
7,35,"25-03-2020","Central","Alberta"
2,37,"26-03-2020","Central","Alberta"
6,43,"27-03-2020","Central","Alberta"
3,46,"28-03-2020","Central","Alberta"
0,46,"29-03-2020","Central","Alberta"
0,46,"30-03-2020","Central","Alberta"
5,51,"31-03-2020","Central","Alberta"
6,57,"01-04-2020","Central","Alberta"
2,59,"02-04-2020","Central","Alberta"
3,62,"03-04-2020","Central","Alberta"
3,65,"04-04-2020","Central","Alberta"
1,66,"05-04-2020","Central","Alberta"
0,66,"06-04-2020","Central","Alberta"
0,66,"07-04-2020","Central","Alberta"
6,72,"08-04-2020","Central","Alberta"
0,72,"09-04-2020","Central","Alberta"
0,72,"10-04-2020","Central","Alberta"
0,72,"11-04-2020","Central","Alberta"
0,72,"12-04-2020","Central","Alberta"
2,74,"13-04-2020","Central","Alberta"
0,74,"14-04-2020","Central","Alberta"
1,75,"15-04-2020","Central","Alberta"
0,75,"16-04-2020","Central","Alberta"
1,76,"17-04-2020","Central","Alberta"
0,76,"18-04-2020","Central","Alberta"
0,76,"19-04-2020","Central","Alberta"
1,77,"20-04-2020","Central","Alberta"
0,77,"21-04-2020","Central","Alberta"
2,79,"22-04-2020","Central","Alberta"
1,80,"23-04-2020","Central","Alberta"
2,82,"24-04-2020","Central","Alberta"
1,83,"25-04-2020","Central","Alberta"
0,83,"26-04-2020","Central","Alberta"
1,84,"27-04-2020","Central","Alberta"
0,84,"28-04-2020","Central","Alberta"
0,84,"29-04-2020","Central","Alberta"
1,85,"30-04-2020","Central","Alberta"
2,87,"01-05-2020","Central","Alberta"
0,87,"02-05-2020","Central","Alberta"
0,87,"03-05-2020","Central","Alberta"
0,87,"04-05-2020","Central","Alberta"
0,87,"05-05-2020","Central","Alberta"
0,87,"06-05-2020","Central","Alberta"
0,87,"07-05-2020","Central","Alberta"
0,87,"08-05-2020","Central","Alberta"
0,87,"09-05-2020","Central","Alberta"
0,87,"10-05-2020","Central","Alberta"
0,87,"11-05-2020","Central","Alberta"
0,87,"12-05-2020","Central","Alberta"
0,87,"13-05-2020","Central","Alberta"
0,87,"14-05-2020","Central","Alberta"
0,87,"15-05-2020","Central","Alberta"
0,87,"16-05-2020","Central","Alberta"
0,87,"17-05-2020","Central","Alberta"
0,87,"18-05-2020","Central","Alberta"
0,87,"19-05-2020","Central","Alberta"
0,87,"20-05-2020","Central","Alberta"
0,87,"21-05-2020","Central","Alberta"
0,87,"22-05-2020","Central","Alberta"
0,87,"23-05-2020","Central","Alberta"
0,87,"24-05-2020","Central","Alberta"
0,87,"25-05-2020","Central","Alberta"
0,87,"26-05-2020","Central","Alberta"
0,87,"27-05-2020","Central","Alberta"
0,87,"28-05-2020","Central","Alberta"
0,87,"29-05-2020","Central","Alberta"
0,87,"30-05-2020","Central","Alberta"
0,87,"31-05-2020","Central","Alberta"
0,87,"01-06-2020","Central","Alberta"
0,87,"02-06-2020","Central","Alberta"
0,87,"03-06-2020","Central","Alberta"
0,87,"04-06-2020","Central","Alberta"
0,87,"05-06-2020","Central","Alberta"
0,87,"06-06-2020","Central","Alberta"
0,87,"07-06-2020","Central","Alberta"
0,87,"08-06-2020","Central","Alberta"
0,87,"09-06-2020","Central","Alberta"
1,88,"10-06-2020","Central","Alberta"
0,88,"11-06-2020","Central","Alberta"
0,88,"12-06-2020","Central","Alberta"
0,88,"13-06-2020","Central","Alberta"
0,88,"14-06-2020","Central","Alberta"
0,88,"15-06-2020","Central","Alberta"
0,88,"16-06-2020","Central","Alberta"
0,88,"17-06-2020","Central","Alberta"
0,88,"18-06-2020","Central","Alberta"
1,89,"19-06-2020","Central","Alberta"
0,89,"20-06-2020","Central","Alberta"
0,89,"21-06-2020","Central","Alberta"
0,89,"22-06-2020","Central","Alberta"
0,89,"23-06-2020","Central","Alberta"
0,89,"24-06-2020","Central","Alberta"
1,90,"25-06-2020","Central","Alberta"
0,90,"26-06-2020","Central","Alberta"
0,90,"27-06-2020","Central","Alberta"
1,91,"28-06-2020","Central","Alberta"
1,92,"29-06-2020","Central","Alberta"
0,92,"30-06-2020","Central","Alberta"
0,92,"01-07-2020","Central","Alberta"
0,92,"02-07-2020","Central","Alberta"
0,92,"03-07-2020","Central","Alberta"
0,92,"04-07-2020","Central","Alberta"
0,92,"05-07-2020","Central","Alberta"
1,93,"06-07-2020","Central","Alberta"
0,93,"07-07-2020","Central","Alberta"
3,96,"08-07-2020","Central","Alberta"
5,101,"09-07-2020","Central","Alberta"
3,104,"10-07-2020","Central","Alberta"
0,104,"11-07-2020","Central","Alberta"
0,104,"12-07-2020","Central","Alberta"
23,127,"13-07-2020","Central","Alberta"
14,141,"14-07-2020","Central","Alberta"
13,154,"15-07-2020","Central","Alberta"
14,168,"16-07-2020","Central","Alberta"
19,187,"17-07-2020","Central","Alberta"
0,187,"18-07-2020","Central","Alberta"
0,187,"19-07-2020","Central","Alberta"
43,230,"20-07-2020","Central","Alberta"
18,248,"21-07-2020","Central","Alberta"
18,266,"22-07-2020","Central","Alberta"
16,282,"23-07-2020","Central","Alberta"
14,296,"24-07-2020","Central","Alberta"
0,296,"25-07-2020","Central","Alberta"
0,296,"26-07-2020","Central","Alberta"
23,319,"27-07-2020","Central","Alberta"
10,329,"28-07-2020","Central","Alberta"
28,357,"29-07-2020","Central","Alberta"
40,397,"30-07-2020","Central","Alberta"
56,453,"31-07-2020","Central","Alberta"
0,453,"01-08-2020","Central","Alberta"
0,453,"02-08-2020","Central","Alberta"
0,453,"03-08-2020","Central","Alberta"
28,481,"04-08-2020","Central","Alberta"
1,482,"05-08-2020","Central","Alberta"
4,486,"06-08-2020","Central","Alberta"
41,527,"07-08-2020","Central","Alberta"
0,527,"08-08-2020","Central","Alberta"
0,527,"09-08-2020","Central","Alberta"
15,542,"10-08-2020","Central","Alberta"
3,545,"11-08-2020","Central","Alberta"
0,545,"12-08-2020","Central","Alberta"
0,545,"13-08-2020","Central","Alberta"
1,546,"14-08-2020","Central","Alberta"
0,546,"15-08-2020","Central","Alberta"
0,546,"16-08-2020","Central","Alberta"
14,560,"17-08-2020","Central","Alberta"
3,563,"18-08-2020","Central","Alberta"
1,564,"19-08-2020","Central","Alberta"
1,565,"20-08-2020","Central","Alberta"
2,567,"21-08-2020","Central","Alberta"
0,567,"22-08-2020","Central","Alberta"
0,567,"23-08-2020","Central","Alberta"
2,569,"24-08-2020","Central","Alberta"
1,570,"25-08-2020","Central","Alberta"
2,572,"26-08-2020","Central","Alberta"
2,574,"27-08-2020","Central","Alberta"
2,576,"28-08-2020","Central","Alberta"
0,576,"29-08-2020","Central","Alberta"
0,576,"30-08-2020","Central","Alberta"
12,588,"31-08-2020","Central","Alberta"
2,590,"01-09-2020","Central","Alberta"
7,597,"02-09-2020","Central","Alberta"
10,607,"03-09-2020","Central","Alberta"
4,611,"04-09-2020","Central","Alberta"
0,611,"05-09-2020","Central","Alberta"
0,611,"06-09-2020","Central","Alberta"
0,611,"07-09-2020","Central","Alberta"
17,628,"08-09-2020","Central","Alberta"
0,628,"09-09-2020","Central","Alberta"
1,629,"10-09-2020","Central","Alberta"
2,631,"11-09-2020","Central","Alberta"
0,631,"12-09-2020","Central","Alberta"
0,631,"13-09-2020","Central","Alberta"
15,646,"14-09-2020","Central","Alberta"
2,648,"15-09-2020","Central","Alberta"
1,649,"16-09-2020","Central","Alberta"
0,649,"17-09-2020","Central","Alberta"
1,650,"18-09-2020","Central","Alberta"
0,650,"19-09-2020","Central","Alberta"
0,650,"20-09-2020","Central","Alberta"
6,656,"21-09-2020","Central","Alberta"
3,659,"22-09-2020","Central","Alberta"
0,659,"23-09-2020","Central","Alberta"
2,661,"24-09-2020","Central","Alberta"
1,662,"25-09-2020","Central","Alberta"
0,662,"26-09-2020","Central","Alberta"
0,662,"27-09-2020","Central","Alberta"
4,666,"28-09-2020","Central","Alberta"
3,669,"29-09-2020","Central","Alberta"
0,669,"30-09-2020","Central","Alberta"
3,672,"01-10-2020","Central","Alberta"
1,673,"02-10-2020","Central","Alberta"
0,673,"03-10-2020","Central","Alberta"
