"active_cases","active_cases_change","cumulative_cases","cumulative_deaths","cumulative_recovered","date_active","province"
1084,-23,12604,228,11292,"20-08-2020","Alberta"
1144,60,12748,230,11374,"21-08-2020","Alberta"
1144,0,12748,230,11374,"22-08-2020","Alberta"
1144,0,12748,230,11374,"23-08-2020","Alberta"
1172,28,13006,234,11600,"24-08-2020","Alberta"
1134,-38,13083,235,11714,"25-08-2020","Alberta"
1176,42,13210,235,11799,"26-08-2020","Alberta"
1158,-18,13318,237,11923,"27-08-2020","Alberta"
1185,27,13476,237,12054,"28-08-2020","Alberta"
1185,0,13476,237,12054,"29-08-2020","Alberta"
1185,0,13476,237,12054,"30-08-2020","Alberta"
1370,185,13902,239,12293,"31-08-2020","Alberta"
1398,28,14066,241,12427,"01-09-2020","Alberta"
1403,5,14180,242,12535,"02-09-2020","Alberta"
1415,12,14310,242,12653,"03-09-2020","Alberta"
1433,18,14474,242,12799,"04-09-2020","Alberta"
1433,0,14474,242,12799,"05-09-2020","Alberta"
1433,0,14474,242,12799,"06-09-2020","Alberta"
1433,0,14474,242,12799,"07-09-2020","Alberta"
1692,259,15093,247,13154,"08-09-2020","Alberta"
1585,-107,15191,248,13358,"09-09-2020","Alberta"
1494,-91,15304,253,13557,"10-09-2020","Alberta"
1444,-50,15415,253,13718,"11-09-2020","Alberta"
1444,0,15415,253,13718,"12-09-2020","Alberta"
1444,0,15415,253,13718,"13-09-2020","Alberta"
1538,94,15833,254,14041,"14-09-2020","Alberta"
1491,-47,15957,254,14212,"15-09-2020","Alberta"
1495,4,16128,254,14379,"16-09-2020","Alberta"
1483,-12,16274,254,14537,"17-09-2020","Alberta"
1424,-59,16381,255,14702,"18-09-2020","Alberta"
1424,0,16381,255,14702,"19-09-2020","Alberta"
1424,0,16381,255,14702,"20-09-2020","Alberta"
1459,35,16739,256,15024,"21-09-2020","Alberta"
1565,106,16889,258,15066,"22-09-2020","Alberta"
1520,-45,17032,260,15252,"23-09-2020","Alberta"
1462,-58,17190,261,15467,"24-09-2020","Alberta"
1497,35,17343,261,15585,"25-09-2020","Alberta"
1497,0,17343,261,15585,"26-09-2020","Alberta"
1497,0,17343,261,15585,"27-09-2020","Alberta"
1549,52,17749,265,15935,"28-09-2020","Alberta"
1571,22,17909,266,16072,"29-09-2020","Alberta"
1582,11,18062,267,16213,"30-09-2020","Alberta"
1596,14,18235,269,16370,"01-10-2020","Alberta"
1558,-38,18357,272,16527,"02-10-2020","Alberta"
1558,0,18357,272,16527,"03-10-2020","Alberta"
1558,0,18357,272,16527,"04-10-2020","Alberta"
1783,225,18935,280,16872,"05-10-2020","Alberta"
1900,117,19211,281,17030,"06-10-2020","Alberta"
1910,10,19354,281,17163,"07-10-2020","Alberta"
2098,188,19718,282,17338,"08-10-2020","Alberta"
2225,127,19995,282,17488,"09-10-2020","Alberta"
2225,0,19995,282,17488,"10-10-2020","Alberta"
2225,0,19995,282,17488,"11-10-2020","Alberta"
2225,0,19995,282,17488,"12-10-2020","Alberta"
2615,390,20956,286,18055,"13-10-2020","Alberta"
2689,74,21199,287,18223,"14-10-2020","Alberta"
2738,49,21443,288,18417,"15-10-2020","Alberta"
2836,98,21775,288,18651,"16-10-2020","Alberta"
2836,0,21775,288,18651,"17-10-2020","Alberta"
2836,0,21775,288,18651,"18-10-2020","Alberta"
3138,302,22673,292,19243,"19-10-2020","Alberta"
3203,65,22996,293,19500,"20-10-2020","Alberta"
3372,169,23402,296,19734,"21-10-2020","Alberta"
3519,147,23829,296,20014,"22-10-2020","Alberta"
3651,132,24261,300,20310,"23-10-2020","Alberta"
3651,0,24261,300,20310,"24-10-2020","Alberta"
3651,0,24261,300,20310,"25-10-2020","Alberta"
4477,826,25733,307,20949,"26-10-2020","Alberta"
4738,261,26155,309,21108,"27-10-2020","Alberta"
4793,55,26565,313,21459,"28-10-2020","Alberta"
4921,128,27042,318,21803,"29-10-2020","Alberta"
5172,251,27664,323,22169,"30-10-2020","Alberta"
5172,0,27664,323,22169,"31-10-2020","Alberta"
5172,0,27664,323,22169,"01-11-2020","Alberta"
5172,0,27664,323,22169,"02-11-2020","Alberta"
6110,938,29932,338,23484,"03-11-2020","Alberta"
6230,120,30447,343,23874,"04-11-2020","Alberta"
6230,0,30447,343,23874,"05-11-2020","Alberta"
6822,592,31858,352,24684,"06-11-2020","Alberta"
6817,-5,31858,357,24684,"07-11-2020","Alberta"
6811,-6,31858,363,24684,"08-11-2020","Alberta"
7964,1153,34160,370,25826,"09-11-2020","Alberta"
8090,126,34873,376,26407,"10-11-2020","Alberta"
8083,-7,34873,383,26407,"11-11-2020","Alberta"
8305,222,36405,393,27707,"12-11-2020","Alberta"
8593,288,37312,398,28321,"13-11-2020","Alberta"
8590,-3,37312,401,28321,"14-11-2020","Alberta"
8584,-6,37312,407,28321,"15-11-2020","Alberta"
10031,1447,40189,427,29731,"16-11-2020","Alberta"
10068,37,40962,432,30462,"17-11-2020","Alberta"
10057,-11,41692,443,31192,"18-11-2020","Alberta"
10382,325,42797,451,31964,"19-11-2020","Alberta"
10655,273,43952,462,32835,"20-11-2020","Alberta"
11274,619,45288,471,33543,"21-11-2020","Alberta"
12195,921,46872,471,34206,"22-11-2020","Alberta"
13166,971,48421,476,34779,"23-11-2020","Alberta"
13350,184,49536,491,35695,"24-11-2020","Alberta"
13719,369,50801,500,36582,"25-11-2020","Alberta"
14052,333,51878,510,37316,"26-11-2020","Alberta"
14217,165,53105,519,38369,"27-11-2020","Alberta"
14931,714,54836,524,39381,"28-11-2020","Alberta"
15692,761,56444,533,40219,"29-11-2020","Alberta"
16454,762,58177,541,41182,"30-11-2020","Alberta"
16628,174,59484,551,42305,"01-12-2020","Alberta"
17144,516,61169,561,43464,"02-12-2020","Alberta"
17743,599,63023,575,44705,"03-12-2020","Alberta"
18243,500,64851,590,46018,"04-12-2020","Alberta"
18806,563,66730,596,47328,"05-12-2020","Alberta"
19484,678,68566,615,48467,"06-12-2020","Alberta"
20067,583,70301,631,49603,"07-12-2020","Alberta"
20388,321,72028,640,51000,"08-12-2020","Alberta"
20199,-189,73488,653,52636,"09-12-2020","Alberta"
20163,-36,75054,666,54225,"10-12-2020","Alberta"
20161,-2,76792,684,55947,"11-12-2020","Alberta"
20072,-89,78382,697,57613,"12-12-2020","Alberta"
20562,490,80099,719,58818,"13-12-2020","Alberta"
21123,561,81986,733,60130,"14-12-2020","Alberta"
20649,-474,83327,744,61934,"15-12-2020","Alberta"
20169,-480,84597,760,63668,"16-12-2020","Alberta"
19865,-304,86168,790,65513,"17-12-2020","Alberta"
19607,-258,87581,815,67159,"18-12-2020","Alberta"
19260,-347,88933,841,68832,"19-12-2020","Alberta"
19201,-59,90219,851,70167,"20-12-2020","Alberta"
19165,-36,91459,860,71434,"21-12-2020","Alberta"
18311,-854,92480,871,73298,"22-12-2020","Alberta"
17821,-490,93781,890,75070,"23-12-2020","Alberta"
17821,0,93781,890,75070,"24-12-2020","Alberta"
17821,0,93781,890,75070,"25-12-2020","Alberta"
17821,0,93781,890,75070,"26-12-2020","Alberta"
17821,0,93781,890,75070,"27-12-2020","Alberta"
15487,-2334,98269,1002,81780,"28-12-2020","Alberta"
14785,-702,99141,1028,83328,"29-12-2020","Alberta"
14555,-230,100428,1046,84827,"30-12-2020","Alberta"
14555,0,100428,1046,84827,"31-12-2020","Alberta"
14555,0,100428,1046,84827,"01-01-2021","Alberta"
14555,0,100428,1046,84827,"02-01-2021","Alberta"
14555,0,100428,1046,84827,"03-01-2021","Alberta"
13839,-716,105535,1142,90554,"04-01-2021","Alberta"
13411,-428,106378,1168,91799,"05-01-2021","Alberta"
13450,39,107501,1193,92858,"06-01-2021","Alberta"
13298,-152,108469,1217,93954,"07-01-2021","Alberta"
13628,330,109652,1241,94783,"08-01-2021","Alberta"
14437,809,110641,1272,94932,"09-01-2021","Alberta"
14116,-321,111452,1284,96052,"10-01-2021","Alberta"
13917,-199,112091,1307,96867,"11-01-2021","Alberta"
13220,-697,112743,1345,98178,"12-01-2021","Alberta"
12838,-382,113618,1368,99412,"13-01-2021","Alberta"
12434,-404,114585,1389,100762,"14-01-2021","Alberta"
12189,-245,115370,1402,101779,"15-01-2021","Alberta"
12713,524,116087,1417,101957,"16-01-2021","Alberta"
12234,-479,116837,1436,103167,"17-01-2021","Alberta"
11918,-316,117306,1447,103941,"18-01-2021","Alberta"
11096,-822,117767,1463,105208,"19-01-2021","Alberta"
10565,-531,118436,1484,106387,"20-01-2021","Alberta"
0,0,0,0,0,"25-01-2020","BC"
0,0,0,0,0,"26-01-2020","BC"
0,0,0,0,0,"27-01-2020","BC"
1,1,1,0,0,"28-01-2020","BC"
1,0,1,0,0,"29-01-2020","BC"
1,0,1,0,0,"30-01-2020","BC"
1,0,1,0,0,"31-01-2020","BC"
1,0,1,0,0,"01-02-2020","BC"
1,0,1,0,0,"02-02-2020","BC"
1,0,1,0,0,"03-02-2020","BC"
2,1,2,0,0,"04-02-2020","BC"
2,0,2,0,0,"05-02-2020","BC"
4,2,4,0,0,"06-02-2020","BC"
4,0,4,0,0,"07-02-2020","BC"
4,0,4,0,0,"08-02-2020","BC"
4,0,4,0,0,"09-02-2020","BC"
4,0,4,0,0,"10-02-2020","BC"
4,0,4,0,0,"11-02-2020","BC"
4,0,4,0,0,"12-02-2020","BC"
4,0,4,0,0,"13-02-2020","BC"
5,1,5,0,0,"14-02-2020","BC"
5,0,5,0,0,"15-02-2020","BC"
5,0,5,0,0,"16-02-2020","BC"
5,0,5,0,0,"17-02-2020","BC"
5,0,5,0,0,"18-02-2020","BC"
4,-1,5,0,1,"19-02-2020","BC"
5,1,6,0,1,"20-02-2020","BC"
5,0,6,0,1,"21-02-2020","BC"
5,0,6,0,1,"22-02-2020","BC"
5,0,6,0,1,"23-02-2020","BC"
6,1,7,0,1,"24-02-2020","BC"
3,-3,7,0,4,"25-02-2020","BC"
3,0,7,0,4,"26-02-2020","BC"
3,0,7,0,4,"27-02-2020","BC"
3,0,7,0,4,"28-02-2020","BC"
4,1,8,0,4,"29-02-2020","BC"
4,0,8,0,4,"01-03-2020","BC"
4,0,8,0,4,"02-03-2020","BC"
8,4,12,0,4,"03-03-2020","BC"
9,1,13,0,4,"04-03-2020","BC"
17,8,21,0,4,"05-03-2020","BC"
17,0,21,0,4,"06-03-2020","BC"
23,6,27,0,4,"07-03-2020","BC"
22,-1,27,1,4,"08-03-2020","BC"
27,5,32,1,4,"09-03-2020","BC"
34,7,39,1,4,"10-03-2020","BC"
41,7,46,1,4,"11-03-2020","BC"
48,7,53,1,4,"12-03-2020","BC"
58,10,64,1,5,"13-03-2020","BC"
67,9,73,1,5,"14-03-2020","BC"
67,0,73,1,5,"15-03-2020","BC"
94,27,103,4,5,"16-03-2020","BC"
174,80,186,7,5,"17-03-2020","BC"
219,45,231,7,5,"18-03-2020","BC"
258,39,271,8,5,"19-03-2020","BC"
333,75,348,9,6,"20-03-2020","BC"
408,75,424,10,6,"21-03-2020","BC"
408,0,424,10,6,"22-03-2020","BC"
359,-49,472,13,100,"23-03-2020","BC"
431,72,617,13,173,"24-03-2020","BC"
462,31,659,14,183,"25-03-2020","BC"
525,63,725,14,186,"26-03-2020","BC"
501,-24,792,16,275,"27-03-2020","BC"
471,-30,884,17,396,"28-03-2020","BC"
471,0,884,17,396,"29-03-2020","BC"
482,11,970,19,469,"30-03-2020","BC"
482,0,1013,24,507,"31-03-2020","BC"
435,-47,1066,25,606,"01-04-2020","BC"
449,14,1121,31,641,"02-04-2020","BC"
466,17,1174,35,673,"03-04-2020","BC"
461,-5,1203,38,704,"04-04-2020","BC"
461,0,1203,38,704,"05-04-2020","BC"
444,-17,1266,39,783,"06-04-2020","BC"
443,-1,1291,43,805,"07-04-2020","BC"
450,7,1336,48,838,"08-04-2020","BC"
462,12,1370,50,858,"09-04-2020","BC"
476,14,1410,55,879,"10-04-2020","BC"
482,6,1445,58,905,"11-04-2020","BC"
482,0,1445,58,905,"12-04-2020","BC"
495,13,1490,69,926,"13-04-2020","BC"
503,8,1517,72,942,"14-04-2020","BC"
531,28,1561,75,955,"15-04-2020","BC"
532,1,1575,77,966,"16-04-2020","BC"
574,42,1618,78,966,"17-04-2020","BC"
579,5,1647,81,987,"18-04-2020","BC"
579,0,1647,81,987,"19-04-2020","BC"
574,-5,1699,86,1039,"20-04-2020","BC"
596,22,1724,87,1041,"21-04-2020","BC"
626,30,1795,90,1079,"22-04-2020","BC"
638,12,1824,94,1092,"23-04-2020","BC"
641,3,1853,98,1114,"24-04-2020","BC"
711,70,1948,100,1137,"25-04-2020","BC"
711,0,1948,100,1137,"26-04-2020","BC"
705,-6,1998,103,1190,"27-04-2020","BC"
717,12,2053,105,1231,"28-04-2020","BC"
673,-44,2087,109,1305,"29-04-2020","BC"
678,5,2111,111,1322,"30-04-2020","BC"
675,-3,2144,112,1357,"01-05-2020","BC"
680,5,2170,114,1376,"02-05-2020","BC"
680,0,2170,114,1376,"03-05-2020","BC"
689,9,2223,117,1417,"04-05-2020","BC"
638,-51,2231,121,1472,"05-05-2020","BC"
636,-2,2254,124,1494,"06-05-2020","BC"
647,11,2285,126,1512,"07-05-2020","BC"
608,-39,2314,127,1579,"08-05-2020","BC"
541,-67,2329,129,1659,"09-05-2020","BC"
541,0,2329,129,1659,"10-05-2020","BC"
503,-38,2352,130,1719,"11-05-2020","BC"
396,-107,2359,131,1832,"12-05-2020","BC"
385,-11,2376,132,1859,"13-05-2020","BC"
371,-14,2391,135,1885,"14-05-2020","BC"
358,-13,2406,140,1908,"15-05-2020","BC"
354,-4,2427,141,1932,"16-05-2020","BC"
354,0,2427,141,1932,"17-05-2020","BC"
334,-20,2443,143,1966,"18-05-2020","BC"
324,-10,2445,146,1975,"19-05-2020","BC"
316,-8,2466,149,2001,"20-05-2020","BC"
306,-10,2478,152,2020,"21-05-2020","BC"
309,3,2506,155,2042,"22-05-2020","BC"
302,-7,2516,157,2057,"23-05-2020","BC"
302,0,2516,157,2057,"24-05-2020","BC"
266,-36,2529,161,2102,"25-05-2020","BC"
257,-9,2540,161,2122,"26-05-2020","BC"
242,-15,2548,162,2144,"27-05-2020","BC"
240,-2,2557,164,2153,"28-05-2020","BC"
227,-13,2561,164,2170,"29-05-2020","BC"
227,0,2572,164,2181,"30-05-2020","BC"
227,0,2572,164,2181,"31-05-2020","BC"
224,-3,2596,165,2207,"01-06-2020","BC"
206,-18,2600,165,2229,"02-06-2020","BC"
212,6,2621,166,2243,"03-06-2020","BC"
196,-16,2627,166,2265,"04-06-2020","BC"
189,-7,2628,167,2272,"05-06-2020","BC"
189,0,2628,167,2272,"06-06-2020","BC"
189,0,2628,167,2272,"07-06-2020","BC"
180,-9,2656,167,2309,"08-06-2020","BC"
180,0,2666,167,2319,"09-06-2020","BC"
183,3,2678,167,2328,"10-06-2020","BC"
181,-2,2692,167,2344,"11-06-2020","BC"
186,5,2708,168,2354,"12-06-2020","BC"
186,0,2708,168,2354,"13-06-2020","BC"
186,0,2708,168,2354,"14-06-2020","BC"
181,-5,2744,168,2395,"15-06-2020","BC"
171,-10,2755,168,2416,"16-06-2020","BC"
184,13,2774,168,2422,"17-06-2020","BC"
188,4,2781,168,2425,"18-06-2020","BC"
176,-12,2788,168,2444,"19-06-2020","BC"
176,0,2788,168,2444,"20-06-2020","BC"
176,0,2788,168,2444,"21-06-2020","BC"
179,3,2819,169,2471,"22-06-2020","BC"
171,-8,2832,170,2491,"23-06-2020","BC"
159,-12,2846,171,2516,"24-06-2020","BC"
175,16,2865,173,2517,"25-06-2020","BC"
156,-19,2875,174,2545,"26-06-2020","BC"
156,0,2875,174,2545,"27-06-2020","BC"
156,0,2875,174,2545,"28-06-2020","BC"
148,-8,2899,174,2577,"29-06-2020","BC"
146,-2,2910,174,2590,"30-06-2020","BC"
146,0,2910,174,2590,"01-07-2020","BC"
154,8,2934,177,2603,"02-07-2020","BC"
162,8,2947,177,2608,"03-07-2020","BC"
162,0,2947,177,2608,"04-07-2020","BC"
162,0,2947,177,2608,"05-07-2020","BC"
166,4,2978,183,2629,"06-07-2020","BC"
162,-4,2990,183,2645,"07-07-2020","BC"
162,0,3008,186,2660,"08-07-2020","BC"
175,13,3028,186,2667,"09-07-2020","BC"
187,12,3053,187,2679,"10-07-2020","BC"
187,0,3053,187,2679,"11-07-2020","BC"
187,0,3053,187,2679,"12-07-2020","BC"
208,21,3115,189,2718,"13-07-2020","BC"
209,1,3128,189,2730,"14-07-2020","BC"
207,-2,3149,189,2753,"15-07-2020","BC"
192,-15,3170,189,2789,"16-07-2020","BC"
206,14,3197,189,2802,"17-07-2020","BC"
206,0,3197,189,2802,"18-07-2020","BC"
206,0,3197,189,2802,"19-07-2020","BC"
249,43,3296,189,2858,"20-07-2020","BC"
265,16,3327,189,2873,"21-07-2020","BC"
284,19,3361,189,2888,"22-07-2020","BC"
303,19,3391,190,2898,"23-07-2020","BC"
293,-10,3418,191,2934,"24-07-2020","BC"
293,0,3418,191,2934,"25-07-2020","BC"
